model,family,frame_id,target_word,N,target_prob,cos_mask_to_target_embed
answerdotai/ModernBERT-large,MLM,F0,ladder,0,1.2802917808585335e-05,-0.010571690276265144
answerdotai/ModernBERT-large,MLM,F0,ladder,1,0.21494583785533905,0.05566401779651642
answerdotai/ModernBERT-large,MLM,F0,ladder,3,0.08344457298517227,0.049296170473098755
answerdotai/ModernBERT-large,MLM,F0,ladder,5,0.09765058010816574,0.049649741500616074
answerdotai/ModernBERT-large,MLM,F0,ladder,10,0.09413350373506546,0.04843893647193909
answerdotai/ModernBERT-large,MLM,F0,ladder,20,0.11618346720933914,0.048600148409605026
answerdotai/ModernBERT-large,MLM,F0,ladder,30,0.19250427186489105,0.05734867602586746
answerdotai/ModernBERT-large,MLM,F0,policy,0,0.00012532660912256688,0.013715730048716068
answerdotai/ModernBERT-large,MLM,F0,policy,1,0.33873263001441956,0.04306831210851669
answerdotai/ModernBERT-large,MLM,F0,policy,3,0.206583634018898,0.03067629784345627
answerdotai/ModernBERT-large,MLM,F0,policy,5,0.21858999133110046,0.028437476605176926
answerdotai/ModernBERT-large,MLM,F0,policy,10,0.1840878129005432,0.02750692330300808
answerdotai/ModernBERT-large,MLM,F0,policy,20,0.10474994033575058,0.02848329022526741
answerdotai/ModernBERT-large,MLM,F0,policy,30,0.06251916289329529,0.025978466495871544
answerdotai/ModernBERT-large,MLM,F0,bag,0,2.177849819418043e-05,-0.0014952560886740685
answerdotai/ModernBERT-large,MLM,F0,bag,1,0.18558397889137268,0.05586065724492073
answerdotai/ModernBERT-large,MLM,F0,bag,3,0.20740139484405518,0.04784535989165306
answerdotai/ModernBERT-large,MLM,F0,bag,5,0.15673011541366577,0.0447678416967392
answerdotai/ModernBERT-large,MLM,F0,bag,10,0.12586620450019836,0.04167609661817551
answerdotai/ModernBERT-large,MLM,F0,bag,20,0.1426396667957306,0.04881761968135834
answerdotai/ModernBERT-large,MLM,F0,bag,30,0.18525943160057068,0.058521710336208344
answerdotai/ModernBERT-large,MLM,F0,rabbit,0,1.8055006876238622e-05,0.01788271777331829
answerdotai/ModernBERT-large,MLM,F0,rabbit,1,0.166291743516922,0.08635803312063217
answerdotai/ModernBERT-large,MLM,F0,rabbit,3,0.2851470708847046,0.0859355628490448
answerdotai/ModernBERT-large,MLM,F0,rabbit,5,0.2818870544433594,0.08980074524879456
answerdotai/ModernBERT-large,MLM,F0,rabbit,10,0.28808432817459106,0.0934583842754364
answerdotai/ModernBERT-large,MLM,F0,rabbit,20,0.1776966154575348,0.093228280544281
answerdotai/ModernBERT-large,MLM,F0,rabbit,30,0.1406688690185547,0.09620881080627441
