model,family,frame_id,target_word,N,target_prob
Qwen/Qwen2.5-7B,CLM,F0,arm,10,0.012078271247446537
Qwen/Qwen2.5-7B,CLM,F0,arm,20,0.01152580976486206
Qwen/Qwen2.5-7B,CLM,F0,arm,30,0.011127450503408909
Qwen/Qwen2.5-7B,CLM,F0,change,0,0.00036804866977036
Qwen/Qwen2.5-7B,CLM,F0,change,1,0.02370363101363182
Qwen/Qwen2.5-7B,CLM,F0,change,3,0.5771075487136841
Qwen/Qwen2.5-7B,CLM,F0,change,5,0.3784376084804535
Qwen/Qwen2.5-7B,CLM,F0,change,10,0.36123332381248474
Qwen/Qwen2.5-7B,CLM,F0,change,20,0.18946564197540283
Qwen/Qwen2.5-7B,CLM,F0,change,30,0.08322633802890778
Qwen/Qwen2.5-7B,CLM,F0,tyranny,0,7.477362669305876e-05
Qwen/Qwen2.5-7B,CLM,F0,tyranny,1,0.08631675690412521
Qwen/Qwen2.5-7B,CLM,F0,tyranny,3,0.42242053151130676
Qwen/Qwen2.5-7B,CLM,F0,tyranny,5,0.5327324867248535
Qwen/Qwen2.5-7B,CLM,F0,tyranny,10,0.41047194600105286
Qwen/Qwen2.5-7B,CLM,F0,tyranny,20,0.3057275712490082
Qwen/Qwen2.5-7B,CLM,F0,tyranny,30,0.1745370775461197
Qwen/Qwen2.5-7B,CLM,F0,ladder,0,4.633049229596509e-06
Qwen/Qwen2.5-7B,CLM,F0,ladder,1,0.02103886939585209
Qwen/Qwen2.5-7B,CLM,F0,ladder,3,0.021700480952858925
Qwen/Qwen2.5-7B,CLM,F0,ladder,5,0.02811979316174984
Qwen/Qwen2.5-7B,CLM,F0,ladder,10,0.030521132051944733
Qwen/Qwen2.5-7B,CLM,F0,ladder,20,0.07384573668241501
Qwen/Qwen2.5-7B,CLM,F0,ladder,30,0.1390760838985443
Qwen/Qwen2.5-7B,CLM,F0,fox,0,8.655675628688186e-06
Qwen/Qwen2.5-7B,CLM,F0,fox,1,0.0003793335345108062
Qwen/Qwen2.5-7B,CLM,F0,fox,3,0.08193591982126236
Qwen/Qwen2.5-7B,CLM,F0,fox,5,0.08820920437574387
Qwen/Qwen2.5-7B,CLM,F0,fox,10,0.14910830557346344
Qwen/Qwen2.5-7B,CLM,F0,fox,20,0.243421733379364
Qwen/Qwen2.5-7B,CLM,F0,fox,30,0.21178241074085236
Qwen/Qwen2.5-7B,CLM,F0,story,0,7.024331716820598e-05
Qwen/Qwen2.5-7B,CLM,F0,story,1,0.002423963276669383
Qwen/Qwen2.5-7B,CLM,F0,story,3,0.07711353898048401
Qwen/Qwen2.5-7B,CLM,F0,story,5,0.13902197778224945
Qwen/Qwen2.5-7B,CLM,F0,story,10,0.250397264957428
Qwen/Qwen2.5-7B,CLM,F0,story,20,0.09660588949918747
Qwen/Qwen2.5-7B,CLM,F0,story,30,0.09128476679325104
