word,category,concreteness_group,frequency_group,semantic_class,word_length,zipf_frequency,notes
legend,abstract_low,abstract,mid,social_concept,6,4.44,
custom,abstract_low,abstract,mid,social_concept,6,4.43,
republic,abstract_low,abstract,mid,political_concept,8,4.6,
doctrine,abstract_low,abstract,low,political_concept,8,3.98,
regime,abstract_low,abstract,mid,political_concept,6,4.3,
policy,abstract_low,abstract,high,political_concept,6,5.17,
authority,abstract_low,abstract,high,political_concept,9,4.81,
liberty,abstract_low,abstract,mid,political_concept,7,4.34,
virtue,abstract_low,abstract,low,moral_concept,6,3.94,
vice,abstract_low,abstract,mid,moral_concept,4,4.71,
duty,abstract_low,abstract,mid,moral_concept,4,4.71,
shame,abstract_low,abstract,mid,moral_concept,5,4.55,
integrity,abstract_low,abstract,mid,moral_concept,9,4.22,
origin,abstract_low,abstract,mid,cognition,6,4.55,
purpose,abstract_low,abstract,high,cognition,7,4.88,
notion,abstract_low,abstract,mid,cognition,6,4.17,
legacy,abstract_low,abstract,mid,social_concept,6,4.37,
symbol,abstract_low,abstract,mid,cognition,6,4.31,
imagination,abstract_low,abstract,mid,cognition,11,4.22,
conscience,abstract_low,abstract,low,cognition,10,3.96,
